,0
0,1133769.8423180596
1,1133452.6242620288
2,1128182.2457968404
3,1130918.9389635243
4,1120946.6029762072
5,1114427.0636997165
6,1119754.999386404
7,1118413.1466162987
8,1116305.4741828158
9,1123431.8043450264
10,1119084.233408987
11,1109930.9216196046
12,1116258.8299166574
13,1109949.7658965779
14,1113857.7460291642
15,1118400.4788245484
16,1120216.0893506545
17,1120782.3394733926
18,1114897.075678036
19,1108389.6241774764
20,1108752.1168763677
21,1112683.3716179184
22,1121983.0503380483
23,1123096.9620716479
24,1122866.1809501804
25,1116449.1898124109
26,1120381.4094857324
27,1129511.4919121324
28,1136324.2938288923
29,1139485.0578448067
30,1142755.0369184017
31,1141850.662283465
32,1142982.6190617927
33,1146051.2592442944
34,1149303.9884960286
35,1150462.511806761
36,1149390.1888994293
37,1146523.7185970664
38,1144363.6068259836
39,1162585.260546476
40,1158126.5477411866
41,1155007.5596202733
42,1155462.5255059614
43,1154004.2216724546
44,1148065.0328399444
45,1150614.030139898
46,1152102.049259651
47,1151514.911230408
48,1148268.9658582283
49,1157152.608346312
50,1154977.7114569426
51,1156793.988365555
52,1160380.1752014377
53,1148426.67428435
54,1149661.241693427
55,1152710.0413567715
56,1148302.2016075978
57,1151886.6162546566
58,1161268.2371037959
59,1156934.5552377468
60,1161512.2271282978
61,1155725.7460802472
62,1153145.9071742701
