,0
0,1294044.7732807866
1,1294801.7008239296
2,1297453.152949349
3,1299062.983282058
4,1294607.588712304
5,1299877.7634134637
6,1302202.5568540515
7,1303939.5619754563
8,1302586.458911042
9,1308709.979169834
10,1302548.4404082198
11,1303047.8125601613
12,1304326.3567664672
13,1312305.8678218485
14,1320050.2926652809
15,1323645.9941455272
16,1317447.3255383593
17,1300391.9689067437
18,1304110.9144776491
19,1312708.2897401752
20,1311395.6188420532
21,1311395.6188420532
22,1311395.6188420532
23,1311395.6188420532
24,1311395.6188420532
25,1311395.6188420532
26,1311395.6188420532
27,1311395.6188420532
28,1311395.6188420532
29,1311395.6188420532
30,1311395.6188420532
31,1311395.6188420532
32,1311395.6188420532
33,1311395.6188420532
34,1311395.6188420532
35,1310716.0688177666
36,1312290.044486309
37,1317310.4830783
38,1317676.7046496905
39,1319349.2457676386
40,1314752.4271304088
41,1313920.5785055603
42,1313920.5785055603
43,1313547.1588093939
44,1314324.0027964676
45,1312708.2519752812
46,1309527.7685971162
47,1312746.6217259998
48,1312174.3467458352
49,1312174.3467458352
50,1312174.3467458352
51,1312174.3467458352
52,1312992.7879595398
53,1312802.0914320068
54,1313926.1876399913
55,1314725.2432257207
56,1311107.5856503013
57,1309418.5407174053
58,1306528.601458578
59,1308621.1384135722
60,1307859.6611796292
61,1307859.6611796292
62,1307859.6611796292
