,0
0,1197268.8522252578
1,1188671.192674198
2,1190648.9999393995
3,1191657.968506141
4,1191694.5820185826
5,1200172.4038661276
6,1202399.527781184
7,1206633.4523478255
8,1206213.543224369
9,1197302.3575931143
10,1202200.6837785095
11,1204163.881044403
12,1200157.6473769217
13,1195622.9197496646
14,1202617.5004352676
15,1198159.6322973392
16,1198821.225423552
17,1197622.423808423
18,1197981.2015252938
19,1198749.796832263
20,1198443.883830621
21,1198477.2602593026
22,1199070.0365938065
23,1198461.1789001906
24,1197218.2066496462
25,1195454.9627142674
26,1189482.1936807162
27,1189468.6589479262
28,1192996.6270127166
29,1193311.9405787096
30,1194645.2805570294
31,1182811.761055669
32,1178249.1706902424
33,1179871.3012372332
34,1191146.0476682072
35,1185696.9913573358
36,1185192.8929979482
37,1187844.6831081987
38,1186654.9484387375
39,1187801.1627615727
40,1188458.9859904293
41,1190362.3263506752
42,1193357.0575777702
43,1182618.827194281
44,1182669.621311896
45,1178653.3093415103
46,1177811.6484864722
47,1191214.9550372527
48,1193148.3450263524
49,1194696.132896764
50,1195376.7871191096
51,1194486.0319256058
52,1195622.9068920182
53,1198675.1300252867
54,1199966.7632193991
55,1195990.3321276286
56,1195255.8310220889
57,1192252.9450049654
58,1191122.0841539018
59,1193473.6430724019
60,1193023.4334816919
61,1195635.5594056342
62,1203226.1587774493
