,0
0,-1654.4493922106922
1,3016.8590001687407
2,4151.936607062351
3,-913.0113474084064
4,0.0
5,0.0
6,0.0
7,-17.931561621604487
8,-1626.2307715150528
9,1313.938322923379
10,1218.5627830922604
11,-1749.6000480568036
12,-765.2468942685518
13,0.0
14,0.0
15,0.0
16,0.0
17,-1319.2042519098613
18,-162.97514037741348
19,-4838.819719935767
20,3947.629214790184
21,-517.236791720381
22,-473.0444788692985
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
