,0
0,1143029.3080167556
1,1150541.439102165
2,1141520.7938251053
3,1154490.9234993467
4,1158120.4004792362
5,1166129.007810126
6,1166014.15125231
7,1168378.7444680757
8,1169602.4197209345
9,1168607.7532118172
10,1170470.9757394209
11,1168497.2185578223
12,1164381.3450521957
13,1167781.5087437425
14,1152344.9217912494
15,1144204.1982269005
16,1137047.8372830714
17,1132985.3183204972
18,1123788.1624345446
19,1100179.949893984
20,1106566.48998386
21,1109811.2581958391
22,1110539.9431478279
23,1114791.8668795128
24,1121773.29303126
25,1122436.0171823753
26,1103800.4014316262
27,1109987.062189445
28,1118673.1172266053
29,1118767.66284491
30,1118500.1855871836
31,1118707.249794739
32,1126015.565002876
33,1115996.1544271223
34,1117549.1843421834
35,1116017.8542863915
36,1118272.6994129485
37,1113012.4245011779
38,1109589.3533501655
39,1116451.9368095705
40,1112784.3938042182
41,1108541.4532608227
42,1106773.4970094122
43,1112718.2451807992
44,1124584.2683795323
45,1121966.7530306545
46,1126997.7582141557
47,1100544.9783831676
48,1109148.4051780787
49,1085786.6437351455
50,1079710.9550891332
51,1087349.5395251922
52,1075291.089631632
53,1073232.6238566092
54,1062988.7776217966
55,1073049.1866410952
56,1076812.6390464893
57,1074275.5663476435
58,1068198.9573998926
59,1072011.5899707815
60,1102399.9318076181
61,1095652.4930658436
62,1105644.154572165
