,0
0,1093842.5577977432
1,1093103.2888318554
2,1084168.8288950443
3,1085775.771045546
4,1086720.93011957
5,1095872.9069680544
6,1102532.2252576146
7,1104473.2658281112
8,1103554.2331060849
9,1112807.2535683126
10,1113070.4384176193
11,1120372.815824301
12,1117420.0219075088
13,1122615.1756261776
14,1120072.7367902745
15,1121127.0652631654
16,1125300.8538051054
17,1111212.1403397718
18,1111868.9534079796
19,1121715.5481632494
20,1110471.030133996
21,1107140.915798201
22,1105992.4717956823
23,1111889.611952603
24,1112142.9494492875
25,1125119.1301007648
26,1106504.5059255592
27,1108665.4353776246
28,1097842.226688486
29,1111993.7964493472
30,1099632.9361436479
31,1097561.4975391491
32,1102911.4590224577
33,1104471.1530921194
34,1101552.4156202034
35,1112783.6698070208
36,1117957.2894848601
37,1117068.5977955176
38,1119914.3357524099
39,1110703.3993821898
40,1111944.4169155445
41,1112746.742669894
42,1110196.2263689383
43,1113012.0761695385
44,1119600.9513497516
45,1124610.2966900466
46,1124153.1646506626
47,1117703.3664270677
48,1115748.6808852283
49,1108527.3343395714
50,1107950.3113823251
51,1116528.24305513
52,1112636.0367617735
53,1118312.431736676
54,1121569.6645897212
55,1118737.9189378028
56,1127301.331801346
57,1101956.6599371037
58,1091726.4035484116
59,1113212.7561235365
60,1128345.0865921997
61,1139602.3344563222
62,1143029.3080167556
