,0
0,1000000.0
1,999924.0744889234
2,998115.354186744
3,992048.6738546313
4,988342.4784608863
5,989579.3351982953
6,992845.0594509857
7,980878.7896618358
8,986326.8237265683
9,974625.5532449769
10,975355.5421730999
11,962410.7635596959
12,967279.7471859431
13,974075.587177621
14,965073.3234380177
15,976052.9975006673
16,962555.1770432626
17,968151.1506069343
18,991973.3007546669
19,992585.6224097392
20,973592.2167769006
21,977601.9047925038
22,985146.8866838398
23,970926.0479657634
24,954170.8295941951
25,954563.7701161257
26,948991.1032370352
27,930037.4805763813
28,949812.9373937729
29,965109.593856998
30,985204.5582606697
31,990322.7458299742
32,992248.4216350835
33,1009899.0944392309
34,1006419.5588103329
35,1010561.7823391455
36,1025650.8074705688
37,1020547.9142194533
38,1008331.4235330363
39,1022166.5244442648
40,1025603.3371635372
41,1031523.7994502697
42,1031491.4484180827
43,1038916.278769882
44,1036310.389418061
45,1036333.6326940635
46,1036459.8582406249
47,1052723.0086536596
48,1055558.504318335
49,1056199.0073887282
50,1063395.756645468
51,1073509.531318218
52,1081579.013603518
53,1084386.2902611627
54,1083532.0053951133
55,1079837.4549436092
56,1081286.000205273
57,1082657.8695106253
58,1090914.6448375413
59,1090267.7394614224
60,1089773.6829833228
61,1094746.6435380587
62,1093842.5577977432
