,0
0,1503639.7033197521
1,1502589.7300628705
2,1502460.2224173849
3,1502460.2224173849
4,1502460.2224173849
5,1502460.2224173849
6,1502460.2224173849
7,1502460.2224173849
8,1502460.2224173849
9,1502460.2224173849
10,1502460.2224173849
11,1502460.2224173849
12,1502460.2224173849
13,1502460.2224173849
14,1502460.2224173849
15,1502460.2224173849
16,1502460.2224173849
17,1502460.2224173849
18,1502460.2224173849
19,1502460.2224173849
20,1502460.2224173849
21,1502460.2224173849
22,1502460.2224173849
23,1502460.2224173849
24,1502460.2224173849
25,1502460.2224173849
26,1502460.2224173849
27,1502460.2224173849
28,1502460.2224173849
29,1502460.2224173849
30,1502460.2224173849
31,1502460.2224173849
32,1502460.2224173849
33,1502460.2224173849
34,1502460.2224173849
35,1502460.2224173849
36,1502460.2224173849
37,1502412.9363608605
38,1502903.2836520313
39,1502703.4854035485
40,1502703.4854035485
41,1502703.4854035485
42,1507138.7350958453
43,1506993.9033076842
44,1506993.9033076842
45,1506993.9033076842
46,1506993.9033076842
47,1506993.9033076842
48,1506993.9033076842
49,1506993.9033076842
50,1506993.9033076842
51,1506993.9033076842
52,1506993.9033076842
53,1506993.9033076842
54,1506993.9033076842
55,1506993.9033076842
56,1506993.9033076842
57,1506993.9033076842
58,1506993.9033076842
59,1506993.9033076842
60,1506993.9033076842
61,1506993.9033076842
62,1506993.9033076842
