,0
0,1105644.154572165
1,1092722.8344265702
2,1100316.2256492588
3,1101273.7488748298
4,1097600.223008535
5,1114131.4215997737
6,1104948.4596502588
7,1100358.495244746
8,1095637.9970198474
9,1094085.9204697907
10,1091718.866364801
11,1093104.9783243206
12,1096827.4263631084
13,1095238.9942707957
14,1092097.8413532127
15,1095537.9938223795
16,1092785.0709060049
17,1094733.6349488264
18,1093478.07746395
19,1077127.061937124
20,1065427.2336324826
21,1065846.048955442
22,1062727.528779105
23,1062858.7130840607
24,1061375.9832446438
25,1083013.9597739596
26,1084739.0480137095
27,1095973.4667775573
28,1099626.9776702125
29,1090002.4860214535
30,1087317.0249733708
31,1100817.1164807312
32,1094956.45858591
33,1089950.7406039143
34,1090427.609343126
35,1099844.527106306
36,1101924.8179138377
37,1104924.2037932295
38,1109614.194336524
39,1106151.8194091804
40,1099459.5004385205
41,1102559.0796457885
42,1100154.5756793662
43,1099159.340981785
44,1104259.551970889
45,1104414.7942556043
46,1114648.823999774
47,1114867.4665902809
48,1124508.394142537
49,1139666.4751149835
50,1153054.0975954277
51,1137325.8409381823
52,1138388.7632659462
53,1142390.0020389294
54,1140261.6275802087
55,1141297.044308905
56,1139424.7024115324
57,1144047.6144866538
58,1142527.2943010125
59,1142858.9452505447
60,1137061.1229695329
61,1138645.453878049
62,1133769.8423180596
