,0
0,1317015.3663850166
1,1317288.8209683509
2,1318904.0923761565
3,1320103.9788149758
4,1321816.6156270849
5,1320587.353785874
6,1318195.512163165
7,1323359.979931923
8,1324422.0815906147
9,1332378.860513905
10,1343067.699120492
11,1328465.2151129006
12,1342789.4755197563
13,1341021.620082785
14,1356015.7761126568
15,1348182.2801564515
16,1346307.7247389115
17,1380137.3622190224
18,1379723.5515622674
19,1386675.2421326789
20,1399526.9337744818
21,1410914.4106536557
22,1407531.6233120381
23,1394986.503621412
24,1393169.40516465
25,1390522.4731027875
26,1404805.4405969037
27,1411274.760672623
28,1406269.405426324
29,1424565.9610373268
30,1428417.4139580969
31,1432644.78122828
32,1426273.9661040057
33,1439200.0111016403
34,1443603.313486011
35,1443630.621585783
36,1444672.395069596
37,1440943.824717073
38,1450517.3992035289
39,1448977.5843835038
40,1448589.4489011287
41,1442687.25271032
42,1435802.608725598
43,1433414.450245602
44,1460952.7523328147
45,1466425.8602685663
46,1474526.1243085081
47,1481924.6552140864
48,1489465.1614870606
49,1495265.4787594583
50,1483490.1094783307
51,1481691.2970094502
52,1506195.9384727213
53,1488221.515265916
54,1482178.4104802294
55,1489901.1079932735
56,1492141.2635488866
57,1495983.135284933
58,1504883.6108744557
59,1521790.6929382363
60,1522474.7050470181
61,1520952.250510282
62,1520952.250510282
