,0
0,1203226.1587774493
1,1204257.0213773546
2,1213860.2388757989
3,1209891.8927516285
4,1201292.4487235493
5,1198126.1381477495
6,1196793.3470768658
7,1193083.1525928366
8,1193692.0053436374
9,1198513.5697135522
10,1192707.4521960341
11,1202807.866371644
12,1194637.1358021107
13,1197550.8936886399
14,1191105.787614769
15,1198592.850456762
16,1195850.5936614543
17,1200504.0062707176
18,1197663.1102251944
19,1191339.6543138823
20,1195064.8441500505
21,1200416.3731853466
22,1203987.1082065378
23,1202844.3024140394
24,1198575.0969206612
25,1194265.3058357805
26,1196970.7673757074
27,1194733.4696867422
28,1194424.4139660096
29,1197981.0011967486
30,1193695.4139953488
31,1188026.9734771925
32,1197000.9363990224
33,1189732.5723749613
34,1192231.8579103139
35,1198909.4389265082
36,1192445.7753418782
37,1193800.9685645832
38,1194675.637425036
39,1212926.9808325672
40,1227549.1626255696
41,1251628.5359094576
42,1251686.2503379325
43,1254131.2805475476
44,1245584.0556940625
45,1239765.2310240923
46,1243445.0164474344
47,1255088.0714206207
48,1251991.5813866695
49,1263340.4920203122
50,1265413.5120196992
51,1258157.1887690336
52,1266986.79220153
53,1275474.2739752072
54,1270247.910638131
55,1269827.0392369144
56,1279679.5592423812
57,1274317.675725832
58,1274086.6066765145
59,1272568.6011625233
60,1277641.621146716
61,1269404.4756947556
62,1270157.2470557706
