,0
0,1307859.6611796292
1,1306735.7494958974
2,1306587.3917053298
3,1306587.3917053298
4,1306587.3917053298
5,1306587.3917053298
6,1306587.3917053298
7,1307991.0451430199
8,1306610.083753863
9,1312297.692338443
10,1311244.97576056
11,1310879.0627245666
12,1310879.0627245666
13,1310879.0627245666
14,1310879.0627245666
15,1310879.0627245666
16,1310879.0627245666
17,1310879.0627245666
18,1310879.0627245666
19,1310879.0627245666
20,1310879.0627245666
21,1310879.0627245666
22,1310879.0627245666
23,1310879.0627245666
24,1310879.0627245666
25,1310879.0627245666
26,1310879.0627245666
27,1310879.0627245666
28,1310879.0627245666
29,1310879.0627245666
30,1310879.0627245666
31,1310879.0627245666
32,1310879.0627245666
33,1310879.0627245666
34,1310879.0627245666
35,1310879.0627245666
36,1310879.0627245666
37,1310879.0627245666
38,1310879.0627245666
39,1310879.0627245666
40,1310879.0627245666
41,1310879.0627245666
42,1310879.0627245666
43,1310879.0627245666
44,1310879.0627245666
45,1310879.0627245666
46,1310879.0627245666
47,1310879.0627245666
48,1310879.0627245666
49,1310879.0627245666
50,1310879.0627245666
51,1310879.0627245666
52,1310879.0627245666
53,1310879.0627245666
54,1310879.0627245666
55,1310879.0627245666
56,1310879.0627245666
57,1317143.4274072745
58,1317015.3663850166
59,1317015.3663850166
60,1317015.3663850166
61,1317015.3663850166
62,1317015.3663850166
