,0
0,1520952.250510282
1,1519217.6617177867
2,1519064.6821248964
3,1519064.6821248964
4,1519064.6821248964
5,1519064.6821248964
6,1519064.6821248964
7,1519064.6821248964
8,1519064.6821248964
9,1519064.6821248964
10,1519064.6821248964
11,1519064.6821248964
12,1519064.6821248964
13,1519064.6821248964
14,1519064.6821248964
15,1519064.6821248964
16,1519064.6821248964
17,1519064.6821248964
18,1519064.6821248964
19,1519064.6821248964
20,1519064.6821248964
21,1519064.6821248964
22,1519064.6821248964
23,1519064.6821248964
24,1519064.6821248964
25,1519064.6821248964
26,1519064.6821248964
27,1519064.6821248964
28,1519064.6821248964
29,1519064.6821248964
30,1519064.6821248964
31,1519064.6821248964
32,1519064.6821248964
33,1519064.6821248964
34,1519064.6821248964
35,1519064.6821248964
36,1519064.6821248964
37,1519064.6821248964
38,1519064.6821248964
39,1519064.6821248964
40,1519064.6821248964
41,1519064.6821248964
42,1519064.6821248964
43,1519064.6821248964
44,1519064.6821248964
45,1519064.6821248964
46,1519064.6821248964
47,1519064.6821248964
48,1519064.6821248964
49,1519064.6821248964
50,1519064.6821248964
51,1519064.6821248964
52,1519064.6821248964
53,1519064.6821248964
54,1519064.6821248964
55,1519064.6821248964
56,1519064.6821248964
57,1519146.6674718172
58,1520091.3549160708
59,1522233.938075431
60,1522755.6014269306
61,1525924.7889895379
62,1524119.1562769092
