,0
0,1614.7327848784626
1,184.34945396450348
2,-2174.260196493473
3,892.4662818019278
4,-2223.9663678992074
5,-3815.129707472166
6,-9003.450289474335
7,8373.049451190978
8,-6023.550577386748
9,-2016.774292676011
10,8798.991457749624
11,918.0840090750717
12,10926.44841757929
13,23169.841874947306
14,-1968.7128598678391
15,-4004.097708397312
16,-2589.931372473715
17,608.0551791768521
18,-1177.6101016111206
19,10.001605013618246
20,-280.29911041632295
21,1776.6577349246945
22,-1436.4668212307151
23,-476.77442776062526
24,0.0400000000372529
25,0.35999999986961484
26,-449.6875450690277
27,-113.77919918717816
28,0.06999999983236194
29,0.8300000000745058
30,-0.5600000000558794
31,-0.3799999998882413
32,-0.060000000055879354
33,318.27828278928064
34,1081.2391998500098
35,-200.2997531176079
36,41.43653038912453
37,-1523.0952708402183
38,-832.5601281106938
39,3504.9626402354334
40,1147.2995416931808
41,373.8245677431114
42,-658.4783123903908
43,861.3870490849949
44,1212.5134001169354
45,10182.017975092633
46,-1624.7732796627097
47,6830.4159057601355
48,1666.8834419334307
49,-7514.958172945771
50,-7100.14393385197
51,12855.659668871667
52,-4147.089421536773
53,-4588.793411316816
54,-2560.5450407571625
55,-1874.6602378438693
56,4112.801794708939
57,-5935.315043582581
58,4209.833068027161
59,-4142.857858553063
60,6353.7865947312675
61,9800.368382181041
