,0
0,756.9275431430433
1,2651.452125419397
2,1609.8303327090107
3,-4455.394569754135
4,5270.17470115982
5,2324.7934405878186
6,1737.0051214047708
7,-1353.1030644143466
8,6123.5202587919775
9,-6161.538761614123
10,499.3721519415267
11,1278.5442063058726
12,7979.51105538127
13,7744.424843432382
14,3595.701480246382
15,-6198.6686071679
16,-17055.356631615665
17,3718.94557090546
18,8597.375262526097
19,-1312.6708981220145
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,-679.550024286611
35,1573.97566854232
36,5020.438591991086
37,366.22157139051706
38,1672.5411179480143
39,-4596.818637229735
40,-831.8486248485278
41,0.0
42,-373.4196961664129
43,776.8439870737493
44,-1615.7508211864624
45,-3180.483378164936
46,3218.853128883522
47,-572.2749801645987
48,0.0
49,0.0
50,0.0
51,818.4412137046456
52,-190.69652753300034
53,1124.0962079844903
54,799.0555857294239
55,-3617.6575754194055
56,-1689.0449328960385
57,-2889.939258827362
58,2092.5369549943134
59,-761.4772339430638
60,0.0
61,0.0
