,0
0,1521197.463458018
1,1520162.5731969723
2,1520927.8145279954
3,1520663.868179094
4,1519997.1170697329
5,1519825.4538867965
6,1519825.4538867965
7,1519825.4538867965
8,1519825.4538867965
9,1519825.4538867965
10,1519825.4538867965
11,1519825.4538867965
12,1519825.4538867965
13,1519825.4538867965
14,1519825.4538867965
15,1519825.4538867965
16,1519825.4538867965
17,1519825.4538867965
18,1519825.4538867965
19,1519825.4538867965
20,1519825.4538867965
21,1519825.4538867965
22,1519825.4538867965
23,1519825.4538867965
24,1519825.4538867965
25,1519825.4538867965
26,1519825.4538867965
27,1519825.4538867965
28,1519825.4538867965
29,1519825.4538867965
30,1519825.4538867965
31,1519825.4538867965
32,1519825.4538867965
33,1513840.7164256847
34,1504966.4786999237
35,1504671.012633329
36,1504671.012633329
37,1503751.7870401125
38,1503639.7033197521
39,1503639.7033197521
40,1503639.7033197521
41,1503639.7033197521
42,1503639.7033197521
43,1503639.7033197521
44,1503639.7033197521
45,1503639.7033197521
46,1503639.7033197521
47,1503639.7033197521
48,1503639.7033197521
49,1503639.7033197521
50,1503639.7033197521
51,1503639.7033197521
52,1503639.7033197521
53,1503639.7033197521
54,1503639.7033197521
55,1503639.7033197521
56,1503639.7033197521
57,1503639.7033197521
58,1503639.7033197521
59,1503639.7033197521
60,1503639.7033197521
61,1503639.7033197521
62,1503639.7033197521
