,0
0,1280806.280185596
1,1266148.7988873154
2,1265809.1571062785
3,1295383.0380019783
4,1279534.2313825
5,1300940.9987377196
6,1289701.0379253149
7,1301164.3870742277
8,1311586.195911907
9,1312496.2039464817
10,1306872.5657232595
11,1305565.733784795
12,1305565.733784795
13,1305565.733784795
14,1305565.733784795
15,1305565.733784795
16,1305565.733784795
17,1305565.733784795
18,1305565.733784795
19,1305565.733784795
20,1305565.733784795
21,1305565.733784795
22,1305565.733784795
23,1305565.733784795
24,1305565.733784795
25,1305565.733784795
26,1305565.733784795
27,1305565.733784795
28,1305565.733784795
29,1305788.3958235334
30,1305616.233284386
31,1304596.5765830304
32,1308122.6975725638
33,1305105.0542024306
34,1306089.1161284363
35,1303999.7386642552
36,1300667.6234830655
37,1289668.1876624622
38,1303379.036583003
39,1294349.34055137
40,1305035.571809473
41,1315601.8894171836
42,1315582.9816395242
43,1332623.4128879055
44,1337403.193733032
45,1341626.9033866464
46,1339129.033534473
47,1339620.464802169
48,1333165.571017855
49,1331205.9903646614
50,1326633.4859558828
51,1321805.6682230122
52,1306930.6608347353
53,1303692.5547103628
54,1295056.4968130456
55,1307172.5349658693
56,1292434.2159296006
57,1295041.852836109
58,1286841.2567231306
59,1294491.2368968169
60,1295340.1130633692
61,1294044.7732807866
62,1294044.7732807866
