,0
0,1153145.9071742701
1,1157515.9591585512
2,1157700.3086125157
3,1155526.0484160222
4,1156418.5146978241
5,1154194.548329925
6,1150379.4186224528
7,1141375.9683329784
8,1149749.0177841694
9,1143725.4672067827
10,1141708.6929141067
11,1150507.6843718563
12,1151425.7683809313
13,1162352.2167985106
14,1185522.058673458
15,1183553.34581359
16,1179549.2481051928
17,1176959.316732719
18,1177567.371911896
19,1176389.7618102848
20,1176399.7634152984
21,1176119.464304882
22,1177896.1220398068
23,1176459.655218576
24,1175982.8807908155
25,1175982.9207908155
26,1175983.2807908154
27,1175533.5932457463
28,1175419.8140465592
29,1175419.884046559
30,1175420.714046559
31,1175420.154046559
32,1175419.7740465591
33,1175419.714046559
34,1175737.9923293483
35,1176819.2315291984
36,1176618.9317760807
37,1176660.3683064699
38,1175137.2730356297
39,1174304.712907519
40,1177809.6755477544
41,1178956.9750894476
42,1179330.7996571907
43,1178672.3213448003
44,1179533.7083938853
45,1180746.2217940022
46,1190928.2397690949
47,1189303.4664894321
48,1196133.8823951923
49,1197800.7658371257
50,1190285.80766418
51,1183185.663730328
52,1196041.3233991996
53,1191894.2339776629
54,1187305.440566346
55,1184744.895525589
56,1182870.235287745
57,1186983.037082454
58,1181047.7220388714
59,1185257.5551068985
60,1181114.6972483455
61,1187468.4838430767
62,1197268.8522252578
